Rk,Name,Position,Indct,First Year,Last Year,AP1,PB,St,CarAV,Games Played,Passes Completed,Passes Attempted,Passing Yards,TD Passes,Longest Pass,Ints,Sacks,Sacked Yards Lost,Rushing Attempts,Rushing Yards,Rushing TDs,Longest Rushing Run,Receptions,Receiving Yards,Receiving TDs,Longest Reception,Year
182,Bob Lilly\LillBo00,DT,1980,1961,1974,7,11,14,108,196,,,,,,,,,,,,,,,,,1967.5
183,Jim Otto\OttoJi00,C,1980,1960,1974,10,12,15,106,210,,,,,,,,,,,,,,,,,1967
184,Dick Butkus\ButkDi00,LB,1979,1965,1973,5,8,9,78,119,,,,,,,,,1,28,0,28,,,,,1969
185,Yale Lary\LaryYa00,DB,1979,1952,1964,3,9,11,65,133,0,4,0,0,0,0,,,10,153,0,32,,,,,1958
186,Ron Mix\MixxRo00,T,1979,1960,1971,9,8,9,82,142,,,,,,,,,,,,,,,,,1965.5
187,Johnny Unitas\UnitJo00,QB,1979,1956,1973,5,10,14,114,211,2830,5186,40239,290,89,253,74,590,450,1777,13,34,1,1,0,1,1964.5
188,Lance Alworth\AlwoLa00,FL,1978,1962,1972,6,7,10,98,137,1,2,-11,0,0,0,0,0,24,129,2,35,542,10266,85,85,1967
189,Tuffy Leemans\LeemTu20,FB,1978,1936,1943,1,2,8,0,80,167,383,2318,25,50,32,,,919,3132,17,75,28,422,3,50,1939.5
190,Ray Nitschke\NitsRa00,LB,1978,1958,1972,2,1,13,94,190,,,,,,,,,,,,,1,34,0,34,1965
191,Larry Wilson\WilsLa00,DB,1978,1960,1972,5,8,13,85,169,0,2,0,0,0,0,0,0,5,36,1,35,,,,,1966
192,Frank Gifford\GiffFr00,HB,1977,1952,1964,4,8,11,27,136,29,63,823,14,83,6,,,840,3609,34,79,367,5434,43,77,1958
193,Forrest Gregg\GregFo00,T,1977,1956,1971,7,9,11,89,193,,,,,,,,,,,,,,,,,1963.5
194,Gale Sayers\SayeGa00,RB,1977,1965,1971,5,4,5,59,68,4,18,111,1,39,2,1,3,991,4956,39,70,112,1307,9,80,1968
195,Bart Starr\StarBa00,QB,1977,1956,1971,1,4,13,90,196,1808,3149,24718,152,91,138,59,533,247,1308,15,39,,,,,1963.5
196,Bill Willis\WillBi00,DG,1977,1946,1953,3,3,6,0,99,,,,,,,,,,,,,,,,,1949.5
197,Len Ford\FordLe00,DE,1976,1948,1958,4,4,11,0,125,,,,,,,,,,,,,67,1175,8,0,1953
